,t,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,omega_1,omega_2,omega_3,omega_4,omega_5,omega_6,omega_7,omega_8,omega_9,omega_10,omega_11,omega_12
10,1573744254.223915,-0.03549819067120552,0.04843093454837799,0.13467909395694733,-0.12185727059841156,-0.2069830298423767,0.21788941323757172,813.0501098632812,811.071044921875,804.8541870117188,811.4698486328125,807.9297485351562,813.2380981445312,812.7883911132812,811.3344116210938,804.5918579101562,811.7255859375,808.1528930664062,813.0191650390625
11,1573744254.2312865,-0.03540083020925522,0.0482197068631649,0.134574294090271,-0.12184757739305496,-0.20705653727054596,0.2178826779127121,812.9915161132812,811.0922241210938,804.8898315429688,811.407470703125,807.9282836914062,813.2138671875,812.7320556640625,811.3532104492188,804.6294555664062,811.661376953125,808.1497192382812,812.99658203125
12,1573744254.2401748,-0.03558488190174103,0.04835625737905502,0.13483676314353943,-0.12214721739292145,-0.20689071714878082,0.2176806926727295,812.8412475585938,810.9658813476562,804.7631225585938,811.250244140625,807.7791748046875,813.0562133789062,812.5828247070312,811.2258911132812,804.5036010742188,811.5033569335938,807.9998168945312,812.8396606445312
13,1573744254.2490396,-0.035100068897008896,0.047889139503240585,0.13421784341335297,-0.12152073532342911,-0.2072925865650177,0.21808460354804993,812.8770751953125,810.9926147460938,804.7850341796875,811.3184204101562,807.82861328125,813.142578125,812.6182861328125,811.2529907226562,804.5253295898438,811.5716552734375,808.0493774414062,812.9259643554688
14,1573744254.2590985,-0.03501148894429207,0.047908809036016464,0.13407152891159058,-0.12126792222261429,-0.20738542079925537,0.21825608611106873,812.8491821289062,810.9468383789062,804.7013549804688,811.3292236328125,807.7600708007812,813.1554565429688,812.5881958007812,811.2094116210938,804.4393920898438,811.5845336914062,807.9824829101562,812.9373168945312
15,1573744254.2700298,-0.034301090985536575,0.04731503501534462,0.132075235247612,-0.11920201033353806,-0.20866696536540985,0.21961966156959534,813.0836181640625,811.123291015625,804.8905639648438,811.580078125,808.0614624023438,813.4637451171875,812.8202514648438,811.3883056640625,804.6271362304688,811.8368530273438,808.2855834960938,813.2438354492188
16,1573744254.2793772,-0.034259747713804245,0.04747965186834335,0.13198703527450562,-0.11897701025009155,-0.20868973433971405,0.21980836987495422,813.1627807617188,810.9892578125,804.8175659179688,811.59326171875,808.09912109375,813.3826904296875,812.8953857421875,811.2586059570312,804.55126953125,811.8527221679688,808.3265991210938,813.159423828125
17,1573744254.2880797,-0.03451878949999809,0.04771658033132553,0.13197040557861328,-0.11898830533027649,-0.20871534943580627,0.21980290114879608,813.2064208984375,811.0111694335938,804.8309326171875,811.6276245117188,808.1279296875,813.40869140625,812.9393920898438,811.2800903320312,804.565185546875,811.886474609375,808.354736328125,813.18603515625
18,1573744254.298012,-0.03684771806001663,0.04997200518846512,0.1329917311668396,-0.12005594372749329,-0.20813986659049988,0.21914884448051453,813.2293090820312,811.0536499023438,804.7892456054688,811.5797729492188,808.0608520507812,813.3509521484375,812.9637451171875,811.321044921875,804.5244750976562,811.8377075195312,808.2860717773438,813.1298828125
19,1573744254.309155,-0.03771776333451271,0.050866350531578064,0.13335183262825012,-0.12038164585828781,-0.20793046057224274,0.21895729005336761,813.1488647460938,810.978515625,804.6771240234375,811.4773559570312,807.9406127929688,813.2470092773438,812.8828735351562,811.2463989257812,804.41162109375,811.7359619140625,808.1661987304688,813.0256958007812
