,t,lin_x,lin_y,lin_z,rot_x,rot_y,rot_z
0,1573744254.2954938,0.9962945855669049,0.3552656954678935,13.963723799880347,-0.35664250206957315,0.8690988908086321,-0.689833408594025
1,1573744254.3054938,1.0020865694050043,0.3520187938962778,13.960527244689873,-0.35604380025573973,0.8707193921829807,-0.6894848228144359
2,1573744254.3154938,1.0041117640856978,0.35066504459143333,13.959262366361294,-0.3456194926016288,0.867704069747038,-0.6915521707996154
3,1573744254.3254938,1.003452019871734,0.3563086801041235,13.964662640661748,-0.3321372972787523,0.8565392153718304,-0.6905958585798423
4,1573744254.3354938,1.0032407778330312,0.36018593003586713,13.96771010358533,-0.3314655137456403,0.851270035989566,-0.6909389442026406
5,1573744254.3454938,0.9993901250527868,0.36070028199952037,13.968621343578182,-0.3353372774761564,0.8527697041075696,-0.6943857064816078
6,1573744254.3554938,0.9983002797018639,0.3615838253641213,13.969009169913122,-0.34392573922596614,0.8437483673014102,-0.6991125100541014
7,1573744254.3654938,0.9973071832262256,0.3616951265534041,13.964664859906607,-0.3517173132317615,0.8347954877300958,-0.6993758716614805
8,1573744254.3754938,0.9954607245331236,0.36278237121991913,13.959395970382774,-0.3590705672692775,0.8375947902278913,-0.6975705566815916
9,1573744254.3854938,0.9943016821954892,0.3643351742116219,13.955614532760052,-0.35487181916143595,0.8443332387379275,-0.6960955990354735
10,1573744254.3954937,0.9927855655787087,0.36791425404508155,13.962596759396186,-0.3524812625438454,0.8515543849307762,-0.6900531319608902
11,1573744254.4054937,0.9896657049698881,0.3714801114816385,13.976468521582301,-0.3421741999175881,0.8544284133786288,-0.6747098488599047
12,1573744254.4154937,0.9886432544776461,0.3741395634375459,13.984433905955989,-0.34621160444568844,0.8516543831937698,-0.6719270783699728
13,1573744254.4254937,0.9877778733897752,0.3769317914279094,13.987969793062456,-0.35102218107890276,0.8519829520791877,-0.6794209785844824
14,1573744254.4354937,0.9875456531189857,0.38119488646152133,13.994912635599196,-0.35303692539986814,0.8540695654501823,-0.6812419253784238
